month,rate
2013-05-01,0.075
2013-06-01,0.075
2013-07-01,0.073
2013-08-01,0.072
2013-09-01,0.072
2013-10-01,0.072
2013-11-01,0.069
2013-12-01,0.067
2014-01-01,0.066
2014-02-01,0.067
2014-03-01,0.067
2014-04-01,0.062
2014-05-01,0.063
2014-06-01,0.061
2014-07-01,0.062
2014-08-01,0.061
2014-09-01,0.059
2014-10-01,0.057
2014-11-01,0.058
2014-12-01,0.056
2015-01-01,0.057
2015-02-01,0.055
2015-03-01,0.054
2015-04-01,0.054
2015-05-01,0.056
2015-06-01,0.053
2015-07-01,0.052
2015-08-01,0.051
2015-09-01,0.050
2015-10-01,0.050
2015-11-01,0.051
2015-12-01,0.050
2016-01-01,0.048
2016-02-01,0.049
2016-03-01,0.050
2016-04-01,0.051
2016-05-01,0.048
2016-06-01,0.049
2016-07-01,0.048
2016-08-01,0.049
2016-09-01,0.050
2016-10-01,0.049
2016-11-01,0.047
2016-12-01,0.047
2017-01-01,0.047
2017-02-01,0.046
2017-03-01,0.044
2017-04-01,0.044
2017-05-01,0.044
2017-06-01,0.043
2017-07-01,0.043
2017-08-01,0.044
2017-09-01,0.043
2017-10-01,0.042
2017-11-01,0.042
2017-12-01,0.041
2018-01-01,0.040
2018-02-01,0.041
2018-03-01,0.040
2018-04-01,0.040
2018-05-01,0.038
2018-06-01,0.040
2018-07-01,0.038
2018-08-01,0.038
2018-09-01,0.037
2018-10-01,0.038
2018-11-01,0.038
2018-12-01,0.039
2019-01-01,0.040
2019-02-01,0.038
2019-03-01,0.038
2019-04-01,0.036
2019-05-01,0.037
2019-06-01,0.036
2019-07-01,0.037
2019-08-01,0.037
2019-09-01,0.035
2019-10-01,0.036
2019-11-01,0.036
2019-12-01,0.036
2020-01-01,0.035
2020-02-01,0.035
2020-03-01,0.044
2020-04-01,0.147
2020-05-01,0.132
2020-06-01,0.110
2020-07-01,0.102
2020-08-01,0.084
2020-09-01,0.079
2020-10-01,0.069
2020-11-01,0.067
2020-12-01,0.067
2021-01-01,0.063
2021-02-01,0.062
2021-03-01,0.061
2021-04-01,0.061
2021-05-01,0.058
2021-06-01,0.059
2021-07-01,0.054
2021-08-01,0.052
2021-09-01,0.048
2021-10-01,0.045
2021-11-01,0.042
2021-12-01,0.039
2022-01-01,0.040
2022-02-01,0.038
2022-03-01,0.036
2022-04-01,0.036
2022-05-01,0.036
2022-06-01,0.036
2022-07-01,0.035
2022-08-01,0.037
2022-09-01,0.035
2022-10-01,0.037
2022-11-01,0.036
2022-12-01,0.035
2023-01-01,0.034
2023-02-01,0.036
2023-03-01,0.035
2023-04-01,0.034
2023-05-01,0.037
2023-06-01,0.036
2023-07-01,0.035
2023-08-01,0.038
